"ent","Sexo","Empleo","Seguro","Salario_trim","Salario_trim_cv"
"01","Hombre","Formal","Con acceso",6885.66242651457,0.0571505678659052
"01","Hombre","Formal","Sin acceso",5129.99302880205,0.181250490324756
"01","Hombre","Informal","Con acceso",0,NA
"01","Hombre","Informal","Sin acceso",4622.69629105016,0.0517306059435407
"01","Mujer","Formal","Con acceso",5477.47060420437,0.0527450254156081
"01","Mujer","Formal","Sin acceso",4285.77368622938,0.231554031743304
"01","Mujer","Informal","Con acceso",0,NA
"01","Mujer","Informal","Sin acceso",3537.22861297668,0.0509960163736749
"02","Hombre","Formal","Con acceso",8556.04298701944,0.0326293159025483
"02","Hombre","Formal","Sin acceso",7177.92959343675,0.174374604362272
"02","Hombre","Informal","Con acceso",0,NA
"02","Hombre","Informal","Sin acceso",7018.3340092752,0.0418323120903498
"02","Mujer","Formal","Con acceso",7266.1893378459,0.0384382173153789
"02","Mujer","Formal","Sin acceso",5650.24857256672,0.181510822555044
"02","Mujer","Informal","Sin acceso",5376.17135920664,0.0499336015733548
"03","Hombre","Formal","Con acceso",15246.7645181829,0.051759926218286
"03","Hombre","Formal","Sin acceso",11888.3259750704,0.0977345588936125
"03","Hombre","Informal","Sin acceso",11038.191149881,0.0433724031550842
"03","Mujer","Formal","Con acceso",13139.2034328573,0.0815304524640997
"03","Mujer","Formal","Sin acceso",12242.4211124897,0.173163337394362
"03","Mujer","Informal","Sin acceso",7240.19028941411,0.0762903756610043
"04","Hombre","Formal","Con acceso",12798.4121465266,0.0228695124973383
"04","Hombre","Formal","Sin acceso",9784.55412301907,0.0736400656706657
"04","Hombre","Informal","Sin acceso",6774.31956673379,0.0348222222938691
"04","Mujer","Formal","Con acceso",10804.0090114506,0.0245655513501933
"04","Mujer","Formal","Sin acceso",8880.95004601025,0.128416893278074
"04","Mujer","Informal","Con acceso",4381.79347826087,0.422726880057175
"04","Mujer","Informal","Sin acceso",4196.30262747065,0.0297864852908005
"05","Hombre","Formal","Con acceso",11418.471413124,0.0182587673068002
"05","Hombre","Formal","Sin acceso",13171.8369063827,0.103002822757446
"05","Hombre","Informal","Sin acceso",8295.94293311213,0.0331649955719705
"05","Mujer","Formal","Con acceso",9412.60281737445,0.02173628576401
"05","Mujer","Formal","Sin acceso",10003.7672349889,0.144639814498808
"05","Mujer","Informal","Sin acceso",5373.661061062,0.0424323795799677
"06","Hombre","Formal","Con acceso",9570.63818928808,0.0465935460536098
"06","Hombre","Formal","Sin acceso",9677.92397405853,0.107991407777262
"06","Hombre","Informal","Con acceso",0,NA
"06","Hombre","Informal","Sin acceso",7788.8078003155,0.0441364217925553
"06","Mujer","Formal","Con acceso",7936.42861378799,0.0371497186483521
"06","Mujer","Formal","Sin acceso",9734.45009093827,0.224764998689809
"06","Mujer","Informal","Sin acceso",5135.60241464365,0.0353460312952827
"07","Hombre","Formal","Con acceso",9466.61146441994,0.0421764817869608
"07","Hombre","Formal","Sin acceso",6314.27713709202,0.101622618616912
"07","Hombre","Informal","Sin acceso",4232.29254419518,0.0508771844204453
"07","Mujer","Formal","Con acceso",9311.59099657292,0.0434035195447837
"07","Mujer","Formal","Sin acceso",6673.53328595721,0.0971001826925819
"07","Mujer","Informal","Con acceso",0,NA
"07","Mujer","Informal","Sin acceso",4010.48371081913,0.0468560259562926
"08","Hombre","Formal","Con acceso",9570.2242387396,0.0289664033491711
"08","Hombre","Formal","Sin acceso",11169.7770280419,0.120239878129799
"08","Hombre","Informal","Sin acceso",6282.58907784556,0.0488330507431737
"08","Mujer","Formal","Con acceso",8316.02602078337,0.0244527534879317
"08","Mujer","Formal","Sin acceso",6743.03969805217,0.15152149478225
"08","Mujer","Informal","Con acceso",0,NA
"08","Mujer","Informal","Sin acceso",5251.06303355172,0.0449295691306564
"09","Hombre","Formal","Con acceso",7834.40348132547,0.0982892729724927
"09","Hombre","Formal","Sin acceso",10479.0645695364,0.262981895357946
"09","Hombre","Informal","Sin acceso",6202.38591868884,0.156015047553284
"09","Mujer","Formal","Con acceso",6717.47039578494,0.0768976834477686
"09","Mujer","Formal","Sin acceso",8771.39628804993,0.25770222611974
"09","Mujer","Informal","Sin acceso",3545.04517510974,0.0549718248907907
"10","Hombre","Formal","Con acceso",9686.25571371108,0.0235312315652897
"10","Hombre","Formal","Sin acceso",9209.4124651547,0.101868840493136
"10","Hombre","Informal","Con acceso",3312.9168356998,0.851970442240992
"10","Hombre","Informal","Sin acceso",6498.73144224666,0.0358287628033208
"10","Mujer","Formal","Con acceso",8909.02741485392,0.031093219711119
"10","Mujer","Formal","Sin acceso",8646.90853539622,0.161849095407829
"10","Mujer","Informal","Con acceso",1261.95028680688,0.955881442682962
"10","Mujer","Informal","Sin acceso",4667.62031868819,0.0449938665512634
"11","Hombre","Formal","Con acceso",6218.65614114489,0.046714942278657
"11","Hombre","Formal","Sin acceso",3734.95233953317,0.218754738346605
"11","Hombre","Informal","Con acceso",0,NA
"11","Hombre","Informal","Sin acceso",4873.93772911902,0.0405113476201115
"11","Mujer","Formal","Con acceso",5444.64488110432,0.0494048557356282
"11","Mujer","Formal","Sin acceso",3578.60801870765,0.254874359284655
"11","Mujer","Informal","Con acceso",0,NA
"11","Mujer","Informal","Sin acceso",3018.25617564111,0.04613986355679
"12","Hombre","Formal","Con acceso",7913.95682586972,0.0666081032832652
"12","Hombre","Formal","Sin acceso",6661.72899595883,0.174317997570427
"12","Hombre","Informal","Con acceso",0,NA
"12","Hombre","Informal","Sin acceso",5138.69284837632,0.0544751170370936
"12","Mujer","Formal","Con acceso",7807.77318118087,0.078566391043797
"12","Mujer","Formal","Sin acceso",8097.36051746737,0.186982291871346
"12","Mujer","Informal","Sin acceso",4250.04315477757,0.0716567034053378
"13","Hombre","Formal","Con acceso",7689.30883356747,0.0846662553001669
"13","Hombre","Formal","Sin acceso",8562.05248661056,0.136892917606007
"13","Hombre","Informal","Con acceso",0,NA
"13","Hombre","Informal","Sin acceso",5444.15877985525,0.0554938130878665
"13","Mujer","Formal","Con acceso",7098.41871818378,0.0708763995348302
"13","Mujer","Formal","Sin acceso",6144.96115845841,0.221361815568727
"13","Mujer","Informal","Sin acceso",3005.36285615988,0.0544768353592231
"14","Hombre","Formal","Con acceso",6710.24153666393,0.0425464354464036
"14","Hombre","Formal","Sin acceso",4763.29494726997,0.114025452256745
"14","Hombre","Informal","Sin acceso",6288.65535005664,0.0370745415107413
"14","Mujer","Formal","Con acceso",5650.07551432628,0.0481379395465628
"14","Mujer","Formal","Sin acceso",3184.71146777058,0.224546971920238
"14","Mujer","Informal","Con acceso",0,NA
"14","Mujer","Informal","Sin acceso",4381.24207285278,0.0377787287515899
"15","Hombre","Formal","Con acceso",4142.14894889638,0.0885043908599187
"15","Hombre","Formal","Sin acceso",3590.36983329154,0.270918598555404
"15","Hombre","Informal","Sin acceso",3342.5668834095,0.0510773351902994
"15","Mujer","Formal","Con acceso",3693.94359658392,0.0841530456968013
"15","Mujer","Formal","Sin acceso",2457.46463051794,0.429344351326208
"15","Mujer","Informal","Sin acceso",2777.01238912385,0.0741229320881297
"16","Hombre","Formal","Con acceso",9170.26523144478,0.0889965911055212
"16","Hombre","Formal","Sin acceso",9281.84216266017,0.147428224386729
"16","Hombre","Informal","Sin acceso",6270.58623231165,0.0332507296097774
"16","Mujer","Formal","Con acceso",7533.51849358645,0.0612432036424241
"16","Mujer","Formal","Sin acceso",7947.60191960468,0.220880080777234
"16","Mujer","Informal","Con acceso",0,NA
"16","Mujer","Informal","Sin acceso",3999.70696195547,0.0406919928092304
"17","Hombre","Formal","Con acceso",2316.22921740765,0.104509829771146
"17","Hombre","Formal","Sin acceso",1311.77251919854,0.3387713027081
"17","Hombre","Informal","Sin acceso",3137.43993646681,0.0664699567163082
"17","Mujer","Formal","Con acceso",1979.88550821374,0.13296479897148
"17","Mujer","Formal","Sin acceso",2803.03940943967,0.432270932044966
"17","Mujer","Informal","Con acceso",0,NA
"17","Mujer","Informal","Sin acceso",2011.00675182253,0.0582772364879563
"18","Hombre","Formal","Con acceso",12499.777039066,0.0271289041840635
"18","Hombre","Formal","Sin acceso",14729.0597784456,0.0954217635104005
"18","Hombre","Informal","Sin acceso",8275.10800983904,0.0331737955329235
"18","Mujer","Formal","Con acceso",10438.1703039922,0.0245543270988381
"18","Mujer","Formal","Sin acceso",11942.6292445459,0.131611505402723
"18","Mujer","Informal","Con acceso",0,NA
"18","Mujer","Informal","Sin acceso",5535.26131284119,0.0510754553556421
"19","Hombre","Formal","Con acceso",10600.7302272113,0.0377760940500206
"19","Hombre","Formal","Sin acceso",13367.7606598033,0.144583523344257
"19","Hombre","Informal","Con acceso",0,NA
"19","Hombre","Informal","Sin acceso",8717.92775950385,0.0491188282740509
"19","Mujer","Formal","Con acceso",8983.42283079456,0.0419460273799555
"19","Mujer","Formal","Sin acceso",12249.5407577497,0.269444961937225
"19","Mujer","Informal","Con acceso",0,NA
"19","Mujer","Informal","Sin acceso",6211.34519293039,0.0589680052821529
"20","Hombre","Formal","Con acceso",7383.81738538381,0.0534066722020621
"20","Hombre","Formal","Sin acceso",5682.37679152655,0.213632259438404
"20","Hombre","Informal","Con acceso",0,NA
"20","Hombre","Informal","Sin acceso",3968.0929391952,0.0548266471485694
"20","Mujer","Formal","Con acceso",6892.4502098291,0.0648183406086024
"20","Mujer","Formal","Sin acceso",6611.02795914951,0.316409181102448
"20","Mujer","Informal","Sin acceso",2525.82214582359,0.0576932876610491
"21","Hombre","Formal","Con acceso",6603.51383741935,0.047698684145332
"21","Hombre","Formal","Sin acceso",7136.59704683637,0.123120899238462
"21","Hombre","Informal","Sin acceso",4991.33787291151,0.0485621208042102
"21","Mujer","Formal","Con acceso",5766.05735394326,0.0600005699668811
"21","Mujer","Formal","Sin acceso",5293.38360825358,0.157478566937342
"21","Mujer","Informal","Sin acceso",3147.74861225434,0.0461129111159349
"22","Hombre","Formal","Con acceso",4837.37186742846,0.0647300411040163
"22","Hombre","Formal","Sin acceso",3647.44729336954,0.175898158563647
"22","Hombre","Informal","Sin acceso",4403.83581629903,0.0564364975762343
"22","Mujer","Formal","Con acceso",3897.99088454918,0.0627139027908622
"22","Mujer","Formal","Sin acceso",2567.69245336616,0.21026771761181
"22","Mujer","Informal","Con acceso",0,NA
"22","Mujer","Informal","Sin acceso",2754.92532621877,0.0659970311089122
"23","Hombre","Formal","Con acceso",9903.40421920783,0.0459404777343891
"23","Hombre","Formal","Sin acceso",12210.4639275226,0.18213162755104
"23","Hombre","Informal","Sin acceso",8311.39055338596,0.0478366143698484
"23","Mujer","Formal","Con acceso",8106.44041880905,0.0499214708801984
"23","Mujer","Formal","Sin acceso",7092.70898805783,0.243644645781478
"23","Mujer","Informal","Sin acceso",5312.24533193815,0.0650661975413078
"24","Hombre","Formal","Con acceso",6848.44505303761,0.0508525127476064
"24","Hombre","Formal","Sin acceso",5081.5365943282,0.200587596856819
"24","Hombre","Informal","Con acceso",0,NA
"24","Hombre","Informal","Sin acceso",3904.43180839258,0.0448612345055762
"24","Mujer","Formal","Con acceso",5963.28675695698,0.0634332400647964
"24","Mujer","Formal","Sin acceso",5232.78390957447,0.280241067601166
"24","Mujer","Informal","Sin acceso",3134.80645137094,0.0503119288313723
"25","Hombre","Formal","Con acceso",10616.3860902225,0.0344791786927002
"25","Hombre","Formal","Sin acceso",12747.0340730321,0.0948724570045228
"25","Hombre","Informal","Con acceso",6085.84686774942,0.413435983431578
"25","Hombre","Informal","Sin acceso",8712.09918827955,0.0429381258443111
"25","Mujer","Formal","Con acceso",9242.95510136463,0.0472760870810534
"25","Mujer","Formal","Sin acceso",9710.10870640143,0.121486132709643
"25","Mujer","Informal","Sin acceso",5660.15070879861,0.0500748683721146
"26","Hombre","Formal","Con acceso",9176.28833429814,0.0528662969404219
"26","Hombre","Formal","Sin acceso",6795.965133072,0.127768480797201
"26","Hombre","Informal","Sin acceso",6125.71782217133,0.0557590143241437
"26","Mujer","Formal","Con acceso",7550.30228508232,0.0418305595390187
"26","Mujer","Formal","Sin acceso",5174.2471583257,0.237249085865894
"26","Mujer","Informal","Con acceso",0,NA
"26","Mujer","Informal","Sin acceso",4385.08916225847,0.0602461126294333
"27","Hombre","Formal","Con acceso",10235.260327669,0.0473737870275356
"27","Hombre","Formal","Sin acceso",8519.56919250137,0.11455988793386
"27","Hombre","Informal","Sin acceso",6428.75893728747,0.030158127884567
"27","Mujer","Formal","Con acceso",8317.73676042339,0.0580432919642958
"27","Mujer","Formal","Sin acceso",10902.9435362551,0.265383489390468
"27","Mujer","Informal","Sin acceso",4223.63350734436,0.0363518475505463
"28","Hombre","Formal","Con acceso",10954.9139556503,0.0244140647837783
"28","Hombre","Formal","Sin acceso",13961.4058769669,0.141464909436926
"28","Hombre","Informal","Con acceso",0,NA
"28","Hombre","Informal","Sin acceso",7446.30435328885,0.0353056282311499
"28","Mujer","Formal","Con acceso",9782.6640888149,0.027740635993088
"28","Mujer","Formal","Sin acceso",9027.10079178985,0.245399782843218
"28","Mujer","Informal","Con acceso",0,NA
"28","Mujer","Informal","Sin acceso",5223.04737540507,0.04914740131412
"29","Hombre","Formal","Con acceso",7564.00196598437,0.0434874169941555
"29","Hombre","Formal","Sin acceso",7693.41559518872,0.172437739389646
"29","Hombre","Informal","Sin acceso",5308.08284387885,0.0295844198717487
"29","Mujer","Formal","Con acceso",7196.90770218755,0.037636528305805
"29","Mujer","Formal","Sin acceso",6920.48507462687,0.206562214058475
"29","Mujer","Informal","Sin acceso",3514.58431631737,0.0319672555230325
"30","Hombre","Formal","Con acceso",7625.19007381632,0.0568183890462976
"30","Hombre","Formal","Sin acceso",6213.53017481599,0.157741336327829
"30","Hombre","Informal","Con acceso",0,NA
"30","Hombre","Informal","Sin acceso",5240.06221192059,0.0428189532296383
"30","Mujer","Formal","Con acceso",6322.22591339325,0.0767261685878014
"30","Mujer","Formal","Sin acceso",7621.26984527944,0.148433058136518
"30","Mujer","Informal","Sin acceso",3970.47274900656,0.046636672418834
"31","Hombre","Formal","Con acceso",9702.83551196273,0.0350423667482545
"31","Hombre","Formal","Sin acceso",11630.8782467532,0.114994879284449
"31","Hombre","Informal","Con acceso",0,NA
"31","Hombre","Informal","Sin acceso",7239.92927692531,0.0373413664890266
"31","Mujer","Formal","Con acceso",8489.20767631901,0.0385168911291758
"31","Mujer","Formal","Sin acceso",8479.29240541035,0.143600828728904
"31","Mujer","Informal","Sin acceso",4268.14693270862,0.0393999725334958
"32","Hombre","Formal","Con acceso",8536.37425641481,0.0454107868954798
"32","Hombre","Formal","Sin acceso",6772.49489377562,0.12284258122634
"32","Hombre","Informal","Con acceso",0,NA
"32","Hombre","Informal","Sin acceso",5364.30889715379,0.0522493580321502
"32","Mujer","Formal","Con acceso",7779.77635532916,0.0471658999536147
"32","Mujer","Formal","Sin acceso",4778.76028831637,0.17344304474022
"32","Mujer","Informal","Sin acceso",3363.26744272649,0.0471147902685961
